Name,Rating,Pricing,Location,Cuisine,n_reviews,image_url,reviews
Sweet Chick,4,$$,'New York,Southern,1885,https://s3-media4.fl.yelpcdn.com/bphoto/e7M1L-t2C2wivXMx1qd-KQ/o.jpg,lovely day Lower Eastside Manhattan heard Sweet Chick I watch Nas Nasir Jones interview daytime talk show In last year I visit Sweet Chick multiple occasion brunch dinner I say I generally impressed J One favorite spot chicken waffle Chicken perfectly crispy Waffle build dip Honestly one place I feel like A
Momofuku Ssam Bar,1,$$$,'Pier 17',Asian Fusion,112,https://s3-media4.fl.yelpcdn.com/bphoto/FpyI7v_4zRxr7scrjyUJgA/o.jpg,Service They attentive towards table cook meat like Also check u multiple time make sure B Definitely recommend Great date night special dinner spot come Valentine Day dinner kudos husband make surprise I book restaurant celebrate birthday friend One staff drop food table twice say Yu
Tin Building by Jean-Georges,4,,'New York,Grocery,104,https://s3-media2.fl.yelpcdn.com/bphoto/nZNnx_wbS0SjT4_HSFbKSg/o.jpg,This foodie heaven restaurant market doubt find seek It sustainability It diamond Seaport Talk three C Cakes cooky candy And much This building glitter glamour The attention come Tin Building weekend see buzz Definitely cool spin take multi restaurant
The Tyger,3,$$$,'New York,Cocktail Bars,437,https://s3-media2.fl.yelpcdn.com/bphoto/vPgdJweMK7zug1e-oe9Tjw/o.jpg,good food atmosphere Staff responsive service mind recommend environment food service absolutely top notch Our waiter great vibe check upon often We five dish child Cambodian immigrant I really excite try place bring non Cambodian fiance We make reservation week advance B
Her Name Is Han,5,$$,'New York,Korean,1721,https://s3-media2.fl.yelpcdn.com/bphoto/SBjw3d1VlqSVEU5KMYpDdQ/o.jpg,essence place simple food well like good homecooked meal go galbi bibimbap galbi Name Han true discovery tuck away bustle Koreatown district Manhattan The restaurant offer cozy intimate setting I love place We walk saturday night wait around hour walk around midtown pass one best korean
Kebaya,3,,'New York,Malaysian,12,https://s3-media3.fl.yelpcdn.com/bphoto/OrvKLGpPeRz6EkzjfnnOWQ/o.jpg,Wednesday night easily get table The restaurant little le half full street parking relatively easy find pass Peranakan test attest actual Peranakans I din I detest Laut I go get Michelin star Laut Singapura I high hope Kebaya chef Unfortunately I bit disappointed The food good
886,4,$$,'New York,Taiwanese,651,https://s3-media3.fl.yelpcdn.com/bphoto/N-V-Dl4nrmMhN1TcVt6a8g/o.jpg,food pretty good price good small group ideal Service speedy food come minute A A unique Taiwanese restaurant NYU area For appetizer get pickled cucumber salad refresh good balance acidity I would rate spot round I hear good review spot Food decent I think spectacular None
Aoi Kitchen,4,$$,'New York,Izakaya,221,https://s3-media3.fl.yelpcdn.com/bphoto/7kzfltV_iCmM5dOm3BNYCQ/o.jpg,We stop late lunch happy The menu simple sooo good casual place chill vide Service heart East Village Western influence Japanese restaurant The interior cute music would make good first Ordered Mentaiko Pasta takeaway pretty happy It creamy saucy pasta top mentaiko egg furikake I would suggest
The Four Horsemen,4,$$,'Brooklyn,Wine Bars,293,https://s3-media1.fl.yelpcdn.com/bphoto/3ygXnbcJQle73hqrU_pHXA/o.jpg,Definitely top restaurant The menu unique change regularly Definitely best American food I ever It hard pick favorite A Finally get one coveted reservation Four Horsemen good way overhyped summary Amazing note The main ingredient stay menu pairing appear change description dish might match Small pricey
Sunday in Brooklyn,4,$$,'Brooklyn,American (New),1230,https://s3-media1.fl.yelpcdn.com/bphoto/SKhoE4HNgqWl5HyXpoAH2A/o.jpg,I come infamous I order sauce side every picture I saw look like pancake drown So I A brunch Sunday Brooklyn Sunday Brooklyn fitting last minute decision reservation go time I This place make Buzzfeed Worth It show pancake let tell ya pancake worth every cent sure The pancake
The Wild Son Lunch Counter,4,$$,'New York,American (New),579,https://s3-media3.fl.yelpcdn.com/bphoto/bKbzwnDOl26D3aVzh-lj0A/o.jpg,place brunch many people staff super kind friendly good I visit Ugh I unfortunately disappointed come back At first try go main large seat space close go O Literally worst customer service experience I ever receive life courtesy young waitress dark short hair Luckily I
Hakata Tonton,3,,'New York,Japanese,118,https://s3-media3.fl.yelpcdn.com/bphoto/b7TR_0gULGWB76o7TD0Bhw/o.jpg,new favorite mine Manhattan They quite diverse menu nail dish I get try This place seem get busy location twice dinner time pig foot pot look big mostly cover leek I prefer smaller This review brunch experience would say worse experience would rank anywhere near top food
Mokyo,5,,'New York,Korean,305,https://s3-media2.fl.yelpcdn.com/bphoto/tIO2leoOqXxL6E-C1fwJvw/o.jpg,Have see graduate school friend long time decide try spot We get early reservation first one seat They Just amazing We together year want someplace special get together This place definitely special decor warm A tapa place This great place bring lot people try basically whole menu The serving size small I
C as in Charlie,3,,'New York,Korean,115,https://s3-media4.fl.yelpcdn.com/bphoto/KeDeKmOBI89_Bn8UGmzMsA/o.jpg,I come bday dinner staff amazing They incredibly polite keep bring complimentary sake meal tiny restaurant close seat table The ambiance dim lit red light When get seat give u complimentary I super excite try Korean tapa place unique menu especially I personally confuse oxbone oxtail initially haha
L'Artusi,4,$$$,'New York,Italian,2269,https://s3-media2.fl.yelpcdn.com/bphoto/mf-sqEXHdm6aLo3i3LJsfQ/o.jpg,notch delicious Italian food Me friend constantly floor amaze If opportunity dine pass restaurant gem It incredibly hard get reservation reasonable time worth This great date spot dinner many delicious dish hard choose I want try place hear much rave one best Italian spot NYC
Virginia's,5,,'New York,American (Traditional),4,https://s3-media1.fl.yelpcdn.com/bphoto/uL4eh6ZGL5h_fKqhbXa3Jw/o.jpg,Banana pudding melt chocolate cake best I ever Burger wife love fry bread Brussels crab cake wife duh excellent great list East Village neighborhood bistro close luckily find new space reopen former home Root group people I unfortunately call friend The place small short bar dining area Well decorate warm
Burger & Lobster - Flatiron NYC,2,$$,'New York,Seafood,5863,https://s3-media1.fl.yelpcdn.com/bphoto/2Z3Cn2sDxitAmWJYTdrkpA/o.jpg,burger Some best place overall Z cant say enough great thing Burger Lobster I love restaurant execute name well We order burger lobster combo average service disappointing seat unused back room often forget At first able honor O
Kopitiam,3,$$,'New York,Malaysian,940,https://s3-media1.fl.yelpcdn.com/bphoto/QwkF1ela_T9g-f4kTJq69A/o.jpg,place amazing Truly frill bus tablez reminds boyfriend time hawker center Singapore time I There plenty seating table inside The interior cozy nice wooden ambiance It busy go Tuesday Kopitiam yesterday felt like back Asia good way We go lunch rush around still busy plenty A
Gelso & Grand,5,$$,'New York,Italian,1386,https://s3-media3.fl.yelpcdn.com/bphoto/ZV0bgSfrkjlb1rewpItqCA/o.jpg,friend I look place eat area come whim Very glad The restaurant extremely packed come best fried calamari city We never disappoint Gelso Grand reason place always busy The family come town Gelso Grand one highlight trip server fantastic friendly music
Fifty Henry,4,,'Brooklyn,Wine Bars,13,https://s3-media2.fl.yelpcdn.com/bphoto/tnTIhgqNdzBKns8j5mN5Eg/o.jpg,around Brooklyn Heights beautiful night come Vineapple cafe huge dinner next idea service great food We get Milanese chicken Turkey sandwich add bacon highly recommend Sooo yum Also great local jaunt classic bar look wooden chair seem quite flimsy though Pretty good happy hour super friendly A
Noodle Village,1,$$,'New York,Chinese,1350,https://s3-media4.fl.yelpcdn.com/bphoto/EcoJ1Kz2Uv3tne7lYTNeRA/o.jpg,cute restaurant lot late lunch somewhat busy Cute interior cozy clean Seated right away consider come hefty want eat soup noodle complete mistake ambiance nice greet waiter ask u
While We Were Young,4,$$,'New York,American (New),441,https://s3-media3.fl.yelpcdn.com/bphoto/I5QdRi1JuxzSIqgYJML8dg/o.jpg,first time While Young love The staff work Sunday Brunch Very welcome initial phone call first foremost like say THANK YOU Steven Steven THE best experience specialist I ever meet year live If want feel like walk aesthetic Instagram story place It tiny fill balloon whose string obscure
K'Far,5,,'Brooklyn,Breakfast & Brunch,53,https://s3-media4.fl.yelpcdn.com/bphoto/0aUMvxO56G89jveIGuaPpA/o.jpg,place Such cute ambiance Pink tile gold light fixture plant cute outdoor section would amaze warm weather Great new spot Hoxton Super cool decor ambiance Delicious pastry skip pistachio sticky bun olive feta borekas I one ready accept Michael Solomonov empire open arm Dizengoff come go Chelsea Market much soon sign
Clover Hill,5,,'Brooklyn,American (New),38,https://s3-media4.fl.yelpcdn.com/bphoto/8Y42jKoR_VcNUbCvctqcgA/o.jpg,I excited finally try Clover Hill receive Michelin star Decided save special occasion taste menu drink I come friend holiday dinner treat good meal find interest waiter Michelin star beyonce Cozy restaurant would cloverhillbk Cause comfortable Clover Hill sit tuck away picturesque
Ampersand,5,$$,'New York,Cocktail Bars,257,https://s3-media1.fl.yelpcdn.com/bphoto/9w0Q-m0ts2bXmmWGlAYwnw/o.jpg,Fun cozy bar Great date night place really invite atmosphere It dimly lit ton space get This cozy invite bar It get bit loud raise voice conversation bad great B hubby meet friend visit town It Thursday night around The place full overly pack We
Xolo,5,,'Brooklyn,Mexican,24,https://s3-media4.fl.yelpcdn.com/bphoto/F3PPEJDTfdABbK_RoMGbUA/o.jpg,As kid Southern California really depress eat Mexican food NYC I come best Mexican food I enjoy spot Guac chip delicious little pomegranate seed add texture flavor The goat cheese ball friend I visit LA look tasty good quality food We find Xolo visit Domino Park satisfy
Balthazar,5,$$$,'New York,French,3544,https://s3-media2.fl.yelpcdn.com/bphoto/HY95-fSwf_JNsygeeEzzaA/o.jpg,Tues lunch around We look reservation available decide stop check really enjoyable weekend lunch This place pack weekend I able get table one minute wait My Been want try one NYC notorious brunch spot disappoint Came Sunday morning walk
Uncle Lou,4,$$,'New York,Cantonese,295,https://s3-media1.fl.yelpcdn.com/bphoto/KwB4-Sfzj4ANu-A3T_M2Ig/o.jpg,Buffalo fish Braised short rib sautéed vegetable green fresh snd delicious Cantonese preparation hot tea rice would highly husband saw place TikTok clearly lot folk It pretty busy Monday night could tell lot Amanda A Very good food review takeout I past week I edit I eat may may fifth star For
Betty,4,$$,'New York,American (New),24,https://s3-media1.fl.yelpcdn.com/bphoto/cyj4EA06gUWCNWw0X-hESw/o.jpg,mousse staff good mousse come breakfast dinner also good nice atmosphere nice staff B If open shop LES get bring A game Unfortunately Betty best steak serving portion Service Experience want try place long I mixed experience The food great
Mom's Kitchen & Bar,5,$$,'New York,Comfort Food,1654,https://s3-media3.fl.yelpcdn.com/bphoto/2em4dLRX21eieAsYXp_xUw/o.jpg,best quality whiskey near best quality whiskey near I absolutely LOVE place It super cute kid friendly color page They bunch fun milkshake drink option well get brunch trip city My friend I come around late morning seat within minute Although wait B
Jack's Wife Freda,5,,'New York,Mediterranean,47,https://s3-media2.fl.yelpcdn.com/bphoto/XJuQqCn4nVP5psaHQzxYKA/o.jpg,delicious spot zucchini chip crispy soft inside Freda yummy like runny egg kebab open early around atmosphere energy excellent come weather nice like F day find seat outside Y starve outside ft away naturally run inside GOOD We get poach egg roasted tomato
White Oak Tavern,4,$$,'New York,American (New),436,https://s3-media4.fl.yelpcdn.com/bphoto/MhTzlPX11MWmWRQ_eWfvBw/o.jpg,hidden gem Affordable price great food friendly wait staff First time Manhattan Sunday brunch feel rush restaurant Sunday brunch Great food reasonably price good drink good service They offer hour bottomless brunch I White Oak number time drink It pretty good bar good selection booze time noisy B
Clinton Street Baking Company,4,$$,'New York,Bakeries,5697,https://s3-media2.fl.yelpcdn.com/bphoto/cX6_cvryWi7ri2GKc-ASTg/o.jpg,food Better expect worth wait egg tasty make perfect And mom become little girl eat pancake place definitely live hype I able finally score reservation totally worth hike jersey best first ever experience dining Clinton I wait go back We arrive Saturday morning open
Sama Street,4,$$$,'Brooklyn,Cocktail Bars,175,https://s3-media2.fl.yelpcdn.com/bphoto/bpOzNC_sDqI3x7xRPAp0LQ/o.jpg,Everything eat vegetarian delicious salad tofu bok choy best French fry chili sauce appetizer The I recently pleasure din Sama Street birthday truly incredible experience Had reservation saturday night I love place cocktail When I Brooklyn first place I think I want really creative cocktail The rice rice baby blow
Tsuru Ton Tan,4,$$,'New York,Japanese,2267,https://s3-media3.fl.yelpcdn.com/bphoto/S1XMhxctHZBhMu-qJegLdw/o.jpg,early dinner play three friend Loved atmosphere upon arrival service prompt Food come faster B solid sushi roll option udon bonus The combo best deal get come option get small udon Great big bowl udon It always kind entertain bring giant udon bowl That say amount noodle broth A
Mimi Cheng's,5,,'Brooklyn,Taiwanese,5,https://s3-media3.fl.yelpcdn.com/bphoto/yqHrX4MYx01Y_l3pZLeCMQ/o.jpg,New dumpling place open Brooklyn location I hear Mimi Cheng never try They recently open I admire Mimi Cheng dumpling afar far bridge away minimum long time And I devastate find I excited see Mimi Cheng open Brooklyn Atlantic near Court st I try one Manhattan But I pop today
Salt + Charcoal,5,$$,'Brooklyn,Japanese,709,https://s3-media3.fl.yelpcdn.com/bphoto/VpwIpQhxybRSCyLMQsb_SA/o.jpg,oyster Loved roll well Totally recommend cocktail well service recommendation flavor perfectly ideal meal lusciously fatty wagyu nigiri fried oyster PERFECT restaurant go list finally get enjoy dinner We love atmosphere decor The Maitre
Wan Wan,4,,'New York,Thai,79,https://s3-media2.fl.yelpcdn.com/bphoto/HwK4pWjlHTxecXju5PDYpg/o.jpg,service lobster Tom yum noodle come whole lobster I think bargain dish yummy fresh great Wan Wan sister restaurant fan favorite Wayla Chinatown It upscale take Thai food protein option wagyu lobster friend I come reservation promptly seat In blink eye place soon bustle fully seat We order
Wenwen,5,,'Brooklyn,Taiwanese,155,https://s3-media3.fl.yelpcdn.com/bphoto/zNta2h7QG6zQXEPUAQHgJA/o.jpg,newer restaurant Brooklyn I learn make chicken day I rush get reservation first opening PM I get Taiwanese I verify place authentic fk Dinner menu better brunch must Taiwanese beer brunch Wenwen pleasantly surprise good food order shrimp toast BDSM chicken sandwich share The shrimp
Anto,5,,'New York,Korean,4,https://s3-media2.fl.yelpcdn.com/bphoto/nSHXlkJtXzo_ZqgH-BAsgA/o.jpg,I go dinner service Anto What culinary experience Despite Italian name Anto Korean restaurant serve Korean dish delicious My boyfriend I tasting menu I think quality meat lack grand opening night amazing experience Lovely staff knowledgeable menu listing Ju sommelier
Mesiba,3,,'Brooklyn,Desserts,8,https://s3-media2.fl.yelpcdn.com/bphoto/7wxvORGzaQ7CNaJGTe12fA/o.jpg,new Israeli spot new Moxy Williamsburg Frena Bread start Ktzitzot The also new restaurant Williamsburg Incredible friendly server Every dish flavorful delicious We also love Mesiba last night friend My boyfriend I love find new restaurant excited place The ambiance J
SPES,2,,'New York,Cocktail Bars,33,https://s3-media3.fl.yelpcdn.com/bphoto/fN5JCF4cp_1UkI8hvgrLIA/o.jpg,restaurant really cute smallllllllll mean TINY The decor absolutely adorable The vibe really nice come alone come look around everywhere cute wine bar place seating even though outside ambience natural wine option Spes great food disappointing overpriced friend I order crab pasta
Nan Xiang Xiao Long Bao - Manhattan,5,$$,'New York,Dim Sum,427,https://s3-media1.fl.yelpcdn.com/bphoto/_vA2hcHwvhS9aJx9lTTaEg/o.jpg,food especially love stewed park ball shanghai Xiang Xlb taste good well Z Best dumpling I ever My family I love Hand make fresh Great service well We back food good favorite pig ear spicy sauce It remind taste J
Selo,5,,'Astoria,Modern European,89,https://s3-media2.fl.yelpcdn.com/bphoto/Kdyi9BcLuozWep9dfvmPOw/o.jpg,Absolutely amazing delicious really authentic Never Croatian food could happier stop Selo whim passing time visit Selo A MUST VISIT Food amaze ćevapi burek uštipci everything felt like back home And music place excellent food service Highly recommend Reserve advance large party
BoCaphe,3,$$,'New York,Vietnamese,1730,https://s3-media3.fl.yelpcdn.com/bphoto/IdJq5O1MSzoDtyfOFj10fg/o.jpg,Glad I make quaint little restaurant let get dissuade empty time I walk totally I really disappointed experience I really REALLY want like place I see dish Instagram love dismay still brunch limited menu option We opt tarro fry come yummy mayo dip shishito
Buvette,5,$$,'New York,French,2099,https://s3-media1.fl.yelpcdn.com/bphoto/8pABRPAxv5VnpXU9eCw5Iw/o.jpg,FAVE BRUNCH SPOT OF ALL get excited talk place I nothing negative say everything order good make lovely brunch bestie We make last minute reservation able grab slot noon indoors order Croque Food live hype Best food I eat year Ambience instagram worth sure Staff friendly Be sure go bathroom So
Hole In The Wall,4,$$,'New York,Breakfast & Brunch,755,https://s3-media3.fl.yelpcdn.com/bphoto/RmwnRUF5GUqr_hoqeoJs3w/o.jpg,food atmosphere free option dedicated gluten free toaster This great breakfast spot I love recommend Their food delicious feel like healthier side admit I star Food good mushroom toast Damn Fidi dining expensive decide price matter good brunch Y
Mercado Little Spain,5,$$,'New York,Spanish,521,https://s3-media4.fl.yelpcdn.com/bphoto/Y04odfwTGpf_Wm284gBBbA/o.jpg,physically possible try every stand one sit I want alllllll But ala literally Y Little Spain Chef Jose Hudson Yards New York NY find Little Spain Big NYC Thank tararielle bring u I live Las Palmas GC Santa Cruz TF Arrecife LZ Canary Islands love culture food Walking
Trapizzino,5,$$,'New York,Italian,294,https://s3-media1.fl.yelpcdn.com/bphoto/tueJs5B-V_ccXA1Hst4ToQ/o.jpg,A busy corner joint I keep walk Each time I browse menu wander Boy I regret I oxtail trappezini A love vibe Trapizzino We arrive bit earlier Friday night reservation time although place busy staff Z cute little Italian cafe right hard LES So much yum menu Could sit hang spot quick depend J
YunShang Rice Noodle House,3,$$,'New York,Chinese,315,https://s3-media2.fl.yelpcdn.com/bphoto/R-AQFKvYkcYAD2XV6w9aUg/o.jpg,Really delicious rice noodle soup base super affordable recommend beef lamb skewer appetizer skewer Spicy I start get sick place bestie love bit much So go ALMOST every week These photo within I get Yunnan original others group get Yunnan spicy The original really delicious The texture noodle
Java Indonesian Restaurant,4,$$,'Brooklyn,Indonesian,243,https://s3-media2.fl.yelpcdn.com/bphoto/9cp--AzGSHMHipBF1k9Rxg/o.jpg,Do ever judge book cover The place small owner welcome u like family Started chicken satay Chicken good next I write review place back appear I add photo review Recommend Ikan Belado Sayur Santen Indonesian restaurant serve south Park Slope neighborhood year The place arguably small decorate
Noodle Pudding,3,$$,'Brooklyn,Italian,612,https://s3-media2.fl.yelpcdn.com/bphoto/Zy180Gab7p-dq5RhbAfFAQ/o.jpg,Excellent service Excellent food wait go cash well worth J come time This place delicious authentic Italian food Please note take reservation take payment credit A It Nice neighborhood vibe calamari get mar fishy anchovy Cacio e pepe luke warm bland Pasta Norma enough pasta
Artesano Peruvian Cuisine,5,,'New York,Peruvian,41,https://s3-media3.fl.yelpcdn.com/bphoto/_i7g9ycobO_nWWBmziBiYg/o.jpg,Probably best restaurant I eat year I live NYC Ceviche perfect great service beautiful ambience Perfect date spot Tartare Drinks good Owner receptive feedback item enjoy food beautifully present taste even better The portion fill My friend I order ceviche Artesano vegan Y
Okonomi,2,$$,'Brooklyn,Japanese,512,https://s3-media2.fl.yelpcdn.com/bphoto/AA9rsmxAa6hZcTCVZnxaUw/o.jpg,overall experience Came brunch Thursday get regular size breakfast menu tiny cozy space I enjoyable experience The sushi quite good fresh tasty ingredient leave pleasant aftertaste ramen noodle hard like eat raw pasta The soup fishy The worst ramen ever Food overprice service Z
Eleni's,3,$$$,'New York,Greek,170,https://s3-media3.fl.yelpcdn.com/bphoto/2eugiJ0-tsrgwOAQyfFcVw/o.jpg,I recently wonderful dining experience Eleni Gramercy Park Our group celebrate friend birthday waiter suggest Oh man oh man place GEM I ca wait already go back last night This place open pandemic hit love Greek Mediterranean food especially warmer weather start new year everyone look
Laser Wolf,5,$$$,'Brooklyn,Middle Eastern,162,https://s3-media3.fl.yelpcdn.com/bphoto/_lG4qJgQCqY7aBvx2V4uxw/o.jpg,Shocked I able get reservation thankfully difficult Got seat counter Sunday right open B blah blah hype blah blah hype blah blah much hype yeah get reasonably timed resy Laser hungry This place comparable restaurant israel The fluffy pita hummus salatim soft serve finish So good We Y
La Lanterna Di Vittorio,3,$$,'New York,Italian,1640,https://s3-media1.fl.yelpcdn.com/bphoto/OV8VUNB1pQpRi-FmjqXuLw/o.jpg,service food really fresh flavor perfect Bread soft big everything definitely come back last night sit indoor garden This BEST ITALIAN FOOD I HAVE EVER HAD I several Italian B I go birthday excellent atmosphere nice jazz anymore huge let consider pandemic
The Office of Mr Moto,4,,'New York,Japanese,39,https://s3-media2.fl.yelpcdn.com/bphoto/BZwsdivpFLASGwgECwmoiQ/o.jpg,experience NYC since move The Office Moto You start simple cipher enter exciting voyage Friday night pleasure experience unique speakeasy vibe The Office Mr Moto Japanese omakase restaurant Securing concept sushi speakeasy theme Moto travel aboard USS Susquehanna Commodore Perry Black Fleet
Jiang Nan,4,,'New York,Shanghainese,73,https://s3-media4.fl.yelpcdn.com/bphoto/eU1r1-expuqRxIJFP6_1Bg/o.jpg,I eat hair dish And meatball fully cook The customer service professional So I give star La Zhi Ji dish absolute burst flavor texture oily place would string quite food decently good portion size fair I go two people order quite bit leave end My
Monsieur Vo,1,,'New York,Vietnamese,54,https://s3-media2.fl.yelpcdn.com/bphoto/8Cdym2B6AAUpa0rYZ-rVPA/o.jpg,spot Vietnamese experience From decor staff cocktails food add Monsiuer Vo EV bucket weekend dinner reservation two Overall I really enjoy food find unique super flavorful I definitely back My much Vegetarian hungry limit menu noodle really need expand menu
Dante,3,$$,'New York,Cocktail Bars,600,https://s3-media3.fl.yelpcdn.com/bphoto/828zxxk4lED3Cmh34oZdyw/o.jpg,Loved sidewalk afternoon Dante exquisite Negroni really delicious food A mild scaffold hide sun afternoon late I come friend birthday The vine immaculate The bar beautiful The aesthetic point Although I get drink I would I mixed experience Dante Wednesday night It quite busy hostess let u know seating available outside totally fine
nonono,3,$$$,'New York,Izakaya,1116,https://s3-media1.fl.yelpcdn.com/bphoto/ieSAowdpSG2D5bOW1z035Q/o.jpg,place easily star quality price service probably one best THE best I ever get Manhattan B Speaking vegetarian I find offering far varied tasty modern Japanese spot city I even Friday night restaurant really busy Despite reservation seat quickly greet everyone The interior
