Name,Rating,Pricing,Location,Reviews,Review Count,Cuisine,Number of Reviews,image_url
Wah Fung No 1,5,$,"['79 Chrystie St', 'New York, NY 10002']","[{'text': 'The notable Wah Fung for value eats...definitely was on my to-eat list!\n\nShared a two item: roast pork and duck with my friend. We were going to eat another...', 'reviewer': 'Arthur T.', 'reviewer_id': '0IHXx759icfM3JvRUf-ssQ', 'rating': 5}, {'text': ""Maybe I'm spoiled because of all the time I got to spend in Chinatown out in San Francisco.\n\nI'm a huge fan of finding tasty food at a good price. And while..."", 'reviewer': 'Daniel B.', 'reviewer_id': 'PipGc4TdxurGizJ6CKmU7Q', 'rating': 3}, {'text': ""I went here today after my college class. \nYou have to wait in line for about 10 to 15 minutes because there's so many people waiting to go but the line..."", 'reviewer': 'Izzy C.', 'reviewer_id': 'I9zu0oML0zCql-KICZUmBw', 'rating': 5}]",3,Fast Food,1999,https://s3-media4.fl.yelpcdn.com/bphoto/uO14Qw1yVeNln4z8Pr68aQ/o.jpg
Bar Lula,5,,"['132 1st Ave', 'New York, NY 10009']","[{'text': 'The food, service and ambiance is a breathe of fresh air in this neighborhood. Such a great vibe for a night out with friends or a date. Came here with...', 'reviewer': 'Justin W.', 'reviewer_id': 'M903nlD6jrtH6IMlxjB_GQ', 'rating': 5}, {'text': ""From the team of Wildair comes this nice bar downtown that's great for drinks and shareable plates. \n\nThe Frida drink is a hit or miss - unfortunately it..."", 'reviewer': 'Anthony P.', 'reviewer_id': 'UesejFPZLrapUsC1Sq8QAQ', 'rating': 4}, {'text': 'So glad we tried this place -- great for small groups or a date. The food was tasty and very unique -- cool to try fusion food. \n\nThe beef tartare was my...', 'reviewer': 'Chris K.', 'reviewer_id': 'HXcSUeaj2KzHUkY_67qQyA', 'rating': 5}]",3,Cocktail Bars,46,https://s3-media2.fl.yelpcdn.com/bphoto/J4C2_YmJf33QCYVkW-VvZQ/o.jpg
Kuun,4,$$$,"['290 Livingston St', 'Brooklyn, NY 11217']","[{'text': ""I've had Korean food all over the world, including in Seoul, South Korea. \n\nKUUN may have been one of the best meals of my life and certainly top 3 Korean..."", 'reviewer': 'Adrika C.', 'reviewer_id': '8jUzk2uZUn9nj7qlNZO3Ew', 'rating': 5}, {'text': ""Great vibes/interior, good food, small portions for the price. Good for a date night, but I wouldn't go out of my way to come again.\n\nAll the food was..."", 'reviewer': 'Clara P.', 'reviewer_id': '8YEaETwwwjlMqS7UGiN_ww', 'rating': 4}, {'text': 'Ambiance 5/5: the decor and vibe is cute. Great date night place or catch up with friends and the inside is aesthetically pleasing\n\nService: 3.75/5 they...', 'reviewer': 'Tiffanie T.', 'reviewer_id': '2ZAGNRs2kmUk1H2BOW_3OA', 'rating': 4}]",3,Korean,221,https://s3-media3.fl.yelpcdn.com/bphoto/Y6Aas_QbGHCkq6McOVwIHw/o.jpg
DOMODOMO - New York,4,$$$,"['140 W Houston St', 'New York, NY 10012']","[{'text': 'Came in without a reservation on a Monday night and got seated right away even though it was pretty packed. The oyster bar was spacious and the ambiance of...', 'reviewer': 'Cobey L.', 'reviewer_id': 'O3RmpfYib28XfBa8AVi9ow', 'rating': 5}, {'text': 'I wanted to like domodomo a lot more than I did. I came here for a birthday dinner and altogether we ordered one of the sushi and sashimi combo ($65) and...', 'reviewer': 'Jen L.', 'reviewer_id': 'ws8Y1fFTgEng2JIXqmJIcA', 'rating': 3}, {'text': 'The sushi & handroll set comes with a great selection of items for its price. \n\nTo start, it came with the salmon sashimi (9/10, marinated in yuzu, not...', 'reviewer': 'Esther C.', 'reviewer_id': 'gtm8q5ZFhwYfZeo9ZwLVFw', 'rating': 4}]",3,Japanese,1534,https://s3-media1.fl.yelpcdn.com/bphoto/YX89PDM_-aBCL2USyNyhuw/o.jpg
JeJu Noodle Bar,5,$$,"['679 Greenwich St', 'New York, NY 10014']","[{'text': ""GET THE TORO SSAM BAP! It's been a week since my visit to JeJu, and I can't stop thinking about it. It might have been the best thing I ate in Manhattan....."", 'reviewer': 'Clara C.', 'reviewer_id': '3RPORizfUAhI9HS-Nd7RJA', 'rating': 5}, {'text': 'a place worth trying for the toro ssam bap. every other dish is average.\n\nthe toro ssam bap was the highlight. u really only come here for that dish. its...', 'reviewer': 'Amber C.', 'reviewer_id': 'k1hsQpZRcmBvu3pX12uFoA', 'rating': 3}, {'text': 'My dining experience at Jeju Noodle Bar was excellent. The intimate atmosphere and Korean-inspired dishes with a modern twist were a perfect combination....', 'reviewer': 'T T.', 'reviewer_id': 'dzymoq6oI8AtsVHYOuVUeA', 'rating': 5}]",3,Korean,908,https://s3-media3.fl.yelpcdn.com/bphoto/4jdSz6yjcxWwhSzykKZfIg/o.jpg
Mắm,5,,"['70 Forsyth St', 'New York, NY 10002']","[{'text': ""I am Obsessed. Great value for this quaint spot with unique Vietnamese dishes you won't find in your typical NY restaurant. We didn't realize we had to make..."", 'reviewer': 'Sam R.', 'reviewer_id': '023vebA9iUjvDXfPgKWpXQ', 'rating': 5}, {'text': ""Authentic. \n\nThis little mom and pop shop serves up some good ass bo bun hue. When you see a pork knuckle in there, you know it's the real deal. \n\nWe had..."", 'reviewer': 'Brian L.', 'reviewer_id': 'YqZniLami3yOXF3CSVxaFQ', 'rating': 5}, {'text': ""I've tried Vietnamese food all around the country, including the hubs known for it like Northern and Southern California. I wish NYC had authentic and..."", 'reviewer': 'Valerie N.', 'reviewer_id': 'M5ZofYqePN2yYtw61rJ9aA', 'rating': 5}]",3,Vietnamese,26,https://s3-media1.fl.yelpcdn.com/bphoto/E8dvBeRP-43EX9sfJBbGFQ/o.jpg
Shu Jiao Fu Zhou,5,$,"['295 Grand St', 'New York, NY 10002']","[{'text': ""I haven't eaten there in a long while but this is my GO TO spot for frozen dumplings. This is my home cooked version of chili oil dumplings using Shu Jiao..."", 'reviewer': 'Charmaine T.', 'reviewer_id': 'OCsDkdU9FGpiwyqutygU4A', 'rating': 5}, {'text': 'I saw this place on TikTok about being really cheap and having dumplings for a bargain price. When I got there I realized everything was still very cheap...', 'reviewer': 'Adam S.', 'reviewer_id': 'BCM2ZBVn-AnDmu0316cF2g', 'rating': 3}, {'text': ""Fujianese dumplings. Cash only. Fast but not too fast. Line moves quickly. Not easy to find a seat but you want to eat these quickly. If it's nice out just..."", 'reviewer': 'Jeff W.', 'reviewer_id': 'sYPciZZcLXky2PsbrWGYcw', 'rating': 5}]",3,Chinese,1208,https://s3-media2.fl.yelpcdn.com/bphoto/Nmkgn1o5hidyES6mWk8VHg/o.jpg
Carne Mare,5,,"['89 South St', 'Pier 17', 'New York, NY 10038']","[{'text': ""I came here for my boyfriend's birthday on a Saturday night and it was amazing! To start off, we had to change our reservation time at the last minute and..."", 'reviewer': 'Emily L.', 'reviewer_id': 'X3pT4VyxJKeGUx95NILpag', 'rating': 5}, {'text': 'Food - good but pretty standard for steak in NYC\nAmbiance - Friday night was 60% bridge and tunnel \nService - 0/5, took 30min to get table, 60 min after...', 'reviewer': 'Andrew L.', 'reviewer_id': 'pxLHf78mYl6zZxb_v-CsNQ', 'rating': 1}, {'text': 'Romantic dinner restaurant with excellent views.\n\nExcellent tuna appetizer and steak entree was favorite steak in nyc.', 'reviewer': 'Savina M.', 'reviewer_id': 'xAXPF25nZiQBNoyExPcolg', 'rating': 5}]",3,Steakhouses,184,https://s3-media4.fl.yelpcdn.com/bphoto/fwpce8K4gCL77gy8aydfnQ/o.jpg
Sweet Chick,4,$$,"['178 Ludlow St', 'New York, NY 10002']","[{'text': 'Oh lovely day in Lower Eastside Manhattan. \n\nI 1st heard about Sweet Chick when I watched Nas (Nasir Jones) do an interview on a daytime talk show and he...', 'reviewer': 'Jada C.', 'reviewer_id': '2NjZ_sVNRGk96-iRUfZxDA', 'rating': 5}, {'text': ""In the last few years, I've visited Sweet Chick on multiple occasions - once for brunch and once for dinner - and I have to say, I was generally impressed..."", 'reviewer': 'Greg J.', 'reviewer_id': 'lg9m8HP8TV0bGwYE3AtXsw', 'rating': 4}, {'text': ""One of my favorite spots for chicken and waffles. Chicken is perfectly crispy. Waffle is built for dipping. Honestly one of the few places I don't feel like..."", 'reviewer': 'Isa A.', 'reviewer_id': 'DSDPQueFy-krUHTZxB1BMQ', 'rating': 4}]",3,Southern,1885,https://s3-media4.fl.yelpcdn.com/bphoto/e7M1L-t2C2wivXMx1qd-KQ/o.jpg
Momofuku Ssam Bar,1,$$$,"['89 South St', 'Pier 17', 'New York, NY 10038']","[{'text': ""Service: They were very attentive towards our table and cooked the meat to how we liked it. Also checked in with us multiple times to make sure we didn't..."", 'reviewer': 'Vivian B.', 'reviewer_id': 'CBLh_DKepYpomqJ2F2VabQ', 'rating': 5}, {'text': ""Definitely recommend! Great date night or special dinner spot!\nWe came here for a Valentine's Day dinner (kudos to my husband for making the surprise..."", 'reviewer': 'Batool H.', 'reviewer_id': 'krV6645J4kcbThMdo9xLRA', 'rating': 5}, {'text': 'I booked the restaurant to celebrate birthday with my friends. One of the staffs dropped foods on the table twice while serving/BBQ and said no...', 'reviewer': 'Po Yu C.', 'reviewer_id': 'VGtmEBEYdhB8D0LOpiX1iQ', 'rating': 1}]",3,Asian Fusion,112,https://s3-media4.fl.yelpcdn.com/bphoto/FpyI7v_4zRxr7scrjyUJgA/o.jpg
Tin Building by Jean-Georges,4,,"['96 South St', 'New York, NY 10038']","[{'text': ""This is a foodie's heaven!!!!\n\nWith 10 restaurants and 13 markets there's no doubt you'll find what you seek. It's all about sustainability, farm-to-market,..."", 'reviewer': 'CandiAnne T.', 'reviewer_id': 'A0DJtRTebXVSk2BOfHO-kA', 'rating': 5}, {'text': ""It's a diamond at Seaport. Talk about the three C's?!  Cakes, cookies, and candies. And so much more. This building has glitter and glamour. The attention..."", 'reviewer': 'Roberta D.', 'reviewer_id': 'kOifwFzyHwFOa5j-_QJUZw', 'rating': 4}, {'text': 'Finally came in Tin Building over the weekend to see what the buzz is all about. Definitely very cool spin on Eataly-like take on multi restaurant, and...', 'reviewer': 'Alex R.', 'reviewer_id': 'AncvRQjxjbu4sFjnNcLL2Q', 'rating': 4}]",3,Grocery,104,https://s3-media2.fl.yelpcdn.com/bphoto/nZNnx_wbS0SjT4_HSFbKSg/o.jpg
The Tyger,3,$$$,"['1 Howard St', 'New York, NY 10013']","[{'text': 'Very good food and atmosphere! Staff is responsive and service minded! \n\nStrongly recommend!', 'reviewer': 'Roham P.', 'reviewer_id': 'SkrIeZ_bck89Dzz6-SXbew', 'rating': 4}, {'text': 'The environment, food, and service are absolutely top notch. Our waiter had a great vibe and we were checked upon often. We had five dishes and all of them...', 'reviewer': 'Alex H.', 'reviewer_id': 'wepWn8IPon9yVL0vU2yhRw', 'rating': 5}, {'text': 'As a child of Cambodian immigrants, I was really excited to try this place and brought my non Cambodian fiance. We made reservations about a week in advance...', 'reviewer': 'Ashley B.', 'reviewer_id': 'laCmOba-ML7DSe-9FKDIzQ', 'rating': 3}]",3,Cocktail Bars,437,https://s3-media2.fl.yelpcdn.com/bphoto/vPgdJweMK7zug1e-oe9Tjw/o.jpg
Her Name Is Han,5,$$,"['17 E 31st St', 'New York, NY 10016']","[{'text': 'homecooked feel\n\nlove the essence of this place. it is simple food but done well. like a good homecooked meal. we went for the galbi and bibimbap. galbi had...', 'reviewer': 'Ken C.', 'reviewer_id': '2WPaSsA_YMFQkyKTaH7xxg', 'rating': 5}, {'text': 'Her Name is Han is a true discovery tucked away in the bustling Koreatown district of Manhattan. The restaurant offers a cozy and intimate setting with...', 'reviewer': 'Eric T.', 'reviewer_id': 'bd0okEGblYceUqC9f9uTcg', 'rating': 4}, {'text': 'I loved this place!! We did a walk in on a saturday night and waited around a hour so we walked around midtown to pass time.\n\nThis is one of the best korean...', 'reviewer': 'Angela W.', 'reviewer_id': 'R_6TVufwNNgBghzYRpDOTQ', 'rating': 5}]",3,Korean,1721,https://s3-media2.fl.yelpcdn.com/bphoto/SBjw3d1VlqSVEU5KMYpDdQ/o.jpg
Kebaya,3,,"['20 E 17th St', 'New York, NY 10003']","[{'text': 'Tried this on a Wednesday night and easily got a table. The restaurant was a little less than half full, street parking was relatively easy to find on a...', 'reviewer': 'Jessalyn S.', 'reviewer_id': 'JcyVDuY061gyTgMqKUlpeA', 'rating': 5}, {'text': 'This passes the Peranakan test, as attested by actual Peranakans I dined with.\n\nFirst off, I detest Laut. I went there before they got their Michelin star...', 'reviewer': 'Josephine L.', 'reviewer_id': 's16-BUo-orUsELvMu5ocKg', 'rating': 4}, {'text': 'Having been to both Laut and Singapura, I had high hopes for Kebaya being it was by the same chef. Unfortunately I was a bit disappointed. The food was good...', 'reviewer': 'Winston G.', 'reviewer_id': 'qb4l3B1VifNbkGkC61emSA', 'rating': 3}]",3,Malaysian,12,https://s3-media3.fl.yelpcdn.com/bphoto/OrvKLGpPeRz6EkzjfnnOWQ/o.jpg
886,4,$$,"['26 Saint Marks Pl', 'New York, NY 10003']","[{'text': 'Amazing food for a pretty good price; good for small groups, no more than 4, ideal for 2. Service was speedy and the food came out only a few minutes after...', 'reviewer': 'Albert A.', 'reviewer_id': '3o5piAnO4S-koSjZGRtzag', 'rating': 5}, {'text': 'A unique Taiwanese restaurant in the NYU area! For appetizers, we got the pickled cucumber salad that was refreshing and had a good balance of acidity and...', 'reviewer': 'Katie-Ann F.', 'reviewer_id': '-gMyDDQDYyG5HhAZjn4oFg', 'rating': 4}, {'text': ""I would rate this spot 3.5 but rounded it up. I have heard good reviews about this spot. Food was decent but I don't think it was spectacular. None of the..."", 'reviewer': 'Kenneth M.', 'reviewer_id': 'eILnbNLhXbPs8jpkubB67w', 'rating': 4}]",3,Taiwanese,651,https://s3-media3.fl.yelpcdn.com/bphoto/N-V-Dl4nrmMhN1TcVt6a8g/o.jpg
Aoi Kitchen,4,$$,"['320 E 6th St', 'New York, NY 10003']","[{'text': ""We stopped to have a late lunch, and were so happy we did. The menu is simple and sooo good.  \n\nIt's a casual place and has a chill vide. Service was..."", 'reviewer': 'Bruno C.', 'reviewer_id': 'EaIJ7m8EWOh91t6SsG8oCg', 'rating': 5}, {'text': 'Located in the heart of East Village, it is a Western influenced Japanese restaurant. The interior is cute and not-so-loud music would make it a good first...', 'reviewer': 'Jungwon S.', 'reviewer_id': '0yvT2bcjV_JsIwxxZAqqog', 'rating': 4}, {'text': ""Ordered the Mentaiko Pasta for takeaway and was pretty happy. It's a very creamy saucy pasta topped with mentaiko, an egg, and furikake. I would suggest..."", 'reviewer': 'Anna D.', 'reviewer_id': 'SYJzu_zmWTKwVhWtMfGgtQ', 'rating': 4}]",3,Izakaya,221,https://s3-media3.fl.yelpcdn.com/bphoto/7kzfltV_iCmM5dOm3BNYCQ/o.jpg
The Four Horsemen,4,$$,"['295 Grand St', 'Brooklyn, NY 11211']","[{'text': ""Definitely a top 5 restaurant. The menu was unique and changed regularly. Definitely the best American food I've ever had. It was hard to pick a favorite..."", 'reviewer': 'Alison A.', 'reviewer_id': 'P1Mr1h7d5xeW8fhPLsT29w', 'rating': 5}, {'text': ""Finally got one of the coveted reservations for the Four Horsemen, and it was good in some ways and overhyped in others.\n\nHere's the summary:\n1. Amazing..."", 'reviewer': 'Kathryn T.', 'reviewer_id': 'wZ0AkUZQmB3qMF1e2vYJvw', 'rating': 4}, {'text': 'Side note: The main ingredients stay the same on the menu but the pairings appear to change so my description of the dishes might not match. Small pricey...', 'reviewer': 'Glenn C.', 'reviewer_id': 'JPH-WOKa6EBMlpBGLIPuiw', 'rating': 4}]",3,Wine Bars,293,https://s3-media1.fl.yelpcdn.com/bphoto/3ygXnbcJQle73hqrU_pHXA/o.jpg
Sunday in Brooklyn,4,$$,"['348 Wythe Ave', 'Brooklyn, NY 11249']","[{'text': ""I came for the infamous 'pancake. I ordered it with the sauce on the side just because every picture I saw looked like the pancake was drowning in it. So I..."", 'reviewer': 'Anna A.', 'reviewer_id': 'eMD1-KUrg_9RaJ61fHBGRg', 'rating': 3}, {'text': 'Having brunch at Sunday in Brooklyn on a Sunday in Brooklyn is very fitting. \n\nBrunch was a last minute decision and reservations were gone by the time I...', 'reviewer': 'Joanna M.', 'reviewer_id': 'UjQc4S7kDuhtl7JVpyurqQ', 'rating': 4}, {'text': ""This place made it on Buzzfeed's Worth It show for their pancakes and, let me tell ya, these pancakes are worth every cent for sure! The pancakes are..."", 'reviewer': 'Cristina D.', 'reviewer_id': '5I8jmqgosqb7d-lFaV2OAA', 'rating': 4}]",3,American (New),1230,https://s3-media1.fl.yelpcdn.com/bphoto/SKhoE4HNgqWl5HyXpoAH2A/o.jpg
The Wild Son Lunch Counter,4,$$,"['130 First Ave', 'New York, NY 10009']","[{'text': 'Popular place for brunch : so many people! \nThe staff are super kind and friendly \nFood was good ! I will visit again :)', 'reviewer': 'Euna K.', 'reviewer_id': 'OptgtlhyRDfvAXPgDbs3yA', 'rating': 5}, {'text': ""Ugh, I'm unfortunately so disappointed in coming back here. At first, we tried to go to their main large seating space, but that was closed so we went to..."", 'reviewer': 'Heley O.', 'reviewer_id': '3ZirJX6vtrn62bdeJCJdJw', 'rating': 3}, {'text': ""Literally the worst customer service experience I have ever received in my life  courtesy of the young waitress with the dark short hair. Luckily I don't..."", 'reviewer': 'Linda E.', 'reviewer_id': 'Ot-ODtUth8kGGujm_AscdQ', 'rating': 4}]",3,American (New),579,https://s3-media3.fl.yelpcdn.com/bphoto/bKbzwnDOl26D3aVzh-lj0A/o.jpg
Hakata Tonton,3,,"['35 W 35th St', 'New York, NY 10001']","[{'text': 'Definitely a new favorite of mine in Manhattan!  They have quite a diverse menu here and nailed the dishes I got to try.  This place does seem to get busy,...', 'reviewer': 'Bryson L.', 'reviewer_id': 'PODRIoHyAiybFWUMWaTYyQ', 'rating': 5}, {'text': 'Came to this location twice, once for dinner and the other time for brunch.\nThe pig feet pot looks big but mostly covered with leek. I preferred the smaller...', 'reviewer': 'Sammi K.', 'reviewer_id': 'pmaTm5FT8EDhZLY-LQ6GmQ', 'rating': 3}, {'text': ""This review was for the brunch experience - wouldn't say it was the worse experience but wouldn't rank it anywhere near the top. \n\nAlthough the food and..."", 'reviewer': 'Holly C.', 'reviewer_id': 'Cq7WTib4Je8qyCpVR-RVtA', 'rating': 3}]",3,Japanese,118,https://s3-media3.fl.yelpcdn.com/bphoto/b7TR_0gULGWB76o7TD0Bhw/o.jpg
